,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
313,H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,3.0,,,,44000.0,,12602,,,2
314,H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,2.0,,,,16672.0,,28806,,,2
315,H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,692.0,,,,954274.0,,8837640,,,2
316,H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,1263.0,,,,983240.0,,9829587,,,2
317,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,698752.0,,,,698752.0,,624925,,,0
318,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,367725240.0,,,,367725240.0,,144115331,,,0
319,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,4156945.0,,,,4156945.0,,2554280,,,0
320,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,172800.0,,,,172800.0,,106539,,,0
321,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,339226777.0,,,,339226777.0,,125750041,,,0
322,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,31080716.0,,,,31080716.0,,12538391,,,0
323,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,1102038.0,,,,1102038.0,,835200,,,0
324,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,2944547.0,,,,2944547.0,,2123764,,,0
