,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
165,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,282755424.0,0.0,0.0,0.0,282755424.0,0.0,102567976,0.0,0.0,0
196,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,3593.0,0.0,0.0,0.0,1437.0,0.0,2816,0.0,0.0,0
204,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1812.0,0.0,0.0,0.0,1812.0,0.0,2389,0.0,0.0,0
203,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,26241.0,0.0,0.0,0.0,26241.0,0.0,157497,0.0,0.0,0
202,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,14241.0,0.0,0.0,0.0,14241.0,0.0,241217,0.0,0.0,0
197,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,28735604.0,0.0,0.0,0.0,11494242.0,0.0,1475818,0.0,0.0,0
199,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,648.0,0.0,0.0,0.0,648.0,0.0,8346,0.0,0.0,0
198,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,12473.0,0.0,0.0,0.0,12473.0,0.0,140397760,0.0,0.0,0
205,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,2010763.0,0.0,0.0,0.0,2010763.0,0.0,12096809,0.0,0.0,0
201,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1500.0,0.0,0.0,0.0,1500.0,0.0,14772,0.0,0.0,0
206,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1000.0,0.0,0.0,0.0,1000.0,0.0,28807,0.0,0.0,0
200,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,157218.0,0.0,0.0,0.0,157218.0,0.0,807518,0.0,0.0,0
192,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,207404752.0,0.0,0.0,0.0,207404752.0,0.0,161828704,0.0,0.0,0
191,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,93405.0,0.0,0.0,0.0,93405.0,0.0,135925,0.0,0.0,0
190,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,3339823.0,0.0,0.0,0.0,3339823.0,0.0,2494446,0.0,0.0,0
189,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,235179.0,0.0,0.0,0.0,235179.0,0.0,217568,0.0,0.0,0
188,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,2000000.0,0.0,0.0,0.0,2000000.0,0.0,680000,0.0,0.0,0
187,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,100069888.0,0.0,0.0,0.0,100069888.0,0.0,34034476,0.0,0.0,0
186,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,30304344.0,0.0,0.0,0.0,30304344.0,0.0,12666163,0.0,0.0,0
185,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,265894192.0,0.0,0.0,0.0,265894192.0,0.0,91745344,0.0,0.0,0
184,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,121617888.0,0.0,0.0,0.0,121617888.0,0.0,50981648,0.0,0.0,0
195,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,7170313.0,0.0,0.0,0.0,2868125.0,0.0,218569,0.0,0.0,0
193,H0,1993,1993,1993,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,400000.0,0.0,0.0,0.0,400000.0,0.0,193770,0.0,0.0,0
194,H0,1993,1993,1993,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,59417.0,0.0,0.0,0.0,59417.0,0.0,78304,0.0,0.0,0
215,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,15187.0,0.0,0.0,0.0,15187.0,0.0,25145,0.0,0.0,0
208,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,248281984.0,0.0,0.0,0.0,248281984.0,0.0,110991504,0.0,0.0,0
207,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,105676160.0,0.0,0.0,0.0,105676160.0,0.0,47164896,0.0,0.0,0
231,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,4562.0,0.0,0.0,0.0,4562.0,0.0,34369,0.0,0.0,0
230,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1871940.0,0.0,0.0,0.0,1871940.0,0.0,10060302,0.0,0.0,0
229,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,7608.0,0.0,0.0,0.0,7608.0,0.0,29524,0.0,0.0,0
228,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,8187.0,0.0,0.0,0.0,8187.0,0.0,308223,0.0,0.0,0
227,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,787573.0,0.0,0.0,0.0,787573.0,0.0,4637816,0.0,0.0,0
225,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,10142.0,0.0,0.0,0.0,10142.0,0.0,123031464,0.0,0.0,0
224,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,24550212.0,0.0,0.0,0.0,9820085.0,0.0,1274862,0.0,0.0,0
223,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,108750.0,0.0,0.0,0.0,43500.0,0.0,2891,0.0,0.0,0
222,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,7932655.0,0.0,0.0,0.0,3173062.0,0.0,252035,0.0,0.0,0
221,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,111776.0,0.0,0.0,0.0,111776.0,0.0,104529,0.0,0.0,0
226,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,5109.0,0.0,0.0,0.0,5109.0,0.0,78509,0.0,0.0,0
